opportunity_name,link,type,ugfs_eligible,is_open,deadline,actions_taken,final_response,inferred_decision,inferred_reason
Convergence blended finance (A4FM),https://www.linkedin.com/posts/blendedfinance-developmentfinance-sustainablefinance-share-7444736830031310849-LIoq?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAAB_td3YBvhf0PL3LUMt0LVEo1cu-Z_KCy_E&utm_campaign=copy_link,Blended Financepour le TGF,oui,,25/05/2026,Sarra,,UNKNOWN,[À CONFIRMER PAR UGFS]
Appel à lInnovation Conjointe (JIF) 2026,Joint Innovation Facility (JIF) 2026  Plateforme dinnovation Afrique-Europe,Pont pour linnovation numérique Afrique-Europe (AEDIB),oui indirectement pas en tant que chef de file (association africaine ou européenne),,30/04/2026,,,UNKNOWN,[À CONFIRMER PAR UGFS]
African Energy Futures (AEF),https://africanenergyfutures.org/call-for-proposals/,,oui,,,"soumission fin janvier  2026
Tunisia Green Fund",,GO_SUBMITTED,"Soumis (soumission fin janvier  2026
tunisia green fund)"
Entrpreneurs Calaytic Hub,https://www.linkedin.com/posts/entrepreneurs-catalyst-hub_2026-grant-call-accelerating-supply-deployment-activity-7424373365353709568-CT6I?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAAB_td3YBvhf0PL3LUMt0LVEo1cu-Z_KCy_E&utm_campaign=copy_link,"subventions de 6,5 M+ USD  Financement pour accélérer le déploiement de solutions percutantes  Soutien qui aide à catalyser le capital privé et à libérer les flux dinvestisseurs  Accent sur lénergie, la résilience climatique et le déploiement",oui,,3/3/2026,"soumission le 20/02/2026
Tunisia Green Fund",,GO_SUBMITTED,"Soumis (soumission le 20/02/2026
tunisia green fund)"
APIA,Lancement de lAppel à Projets 2026- Financements climatiques du Fonds Vert pour le Climat (FVC / GCF),Changement  climatique/ TGF & Blue Bond,oui,,10/2/2026,soumission le 10/02/2026,,GO_SUBMITTED,Soumis (soumission le 10/02/2026)
AgriFI,https://www.linkedin.com/posts/global-grants-and-opportunities-for-africa-gga_call-investment-opportunity-activity-7414170696064335873-h2Zs?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAB_td3YBvhf0PL3LUMt0LVEo1cu-Z_KCy_E,Seed of change,Oui,,Rolling,"soumission le 04/02/2026
Seed of change",,GO_SUBMITTED,"Soumis (soumission le 04/02/2026
seed of change)"
Mitigation Action Facility,https://www.linkedin.com/posts/africagreenembassy_%F0%9D%97%9B%F0%9D%97%BC%F0%9D%97%BF%F0%9D%97%B6%F0%9D%98%87%F0%9D%97%BC%F0%9D%97%BB-%F0%9D%97%98%F0%9D%98%82%F0%9D%97%BF%F0%9D%97%BC%F0%9D%97%BD%F0%9D%97%B2-%F0%9D%97%94%F0%9D%97%B3%F0%9D%97%BF%F0%9D%97%B6-activity-7423720884609220608-DEoS?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAAB_td3YBvhf0PL3LUMt0LVEo1cu-Z_KCy_E&utm_campaign=copy_link,Projets d'atténuation du climat dans l'énergie le transport l'industrie,oui,,25/02/2026,soumission le 22/02/2026 pour le Tunisia  Green Fund,,GO_SUBMITTED,Soumis (soumission le 22/02/2026 pour le tunisia  green fund)
Climate KIC,https://www.climate-kic.org/wp-content/uploads/2025/11/Call-for-EOI-ClimAccelerator-2026-Final-Publish.pdf,d'accélération des SSOs lancé par Climate KIC et concentré sur l'IA et les deep-tech pour l'innovation climatique,oui,,28/02/2026,soumission le 21/02/2026 pour le Tunisia Green Fund,,GO_SUBMITTED,Soumis (soumission le 21/02/2026 pour le tunisia green fund)
Fund Launch Partners,https://www.linkedin.com/posts/bridger-pennington-670035127_were-looking-to-deploy-another-15m-into-activity-7426744963947900929-oRqf?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAAB_td3YBvhf0PL3LUMt0LVEo1cu-Z_KCy_E&utm_campaign=copy_link,Emerging Fund Manager Submission Form,oui,,pas précisé,soumission le 26/02/2026 pour le Tunisia Green Fund,Réponse négative reçue,GO_LOST,Soumis mais réponse négative reçue
Fund Launch Partners,https://www.linkedin.com/posts/bridger-pennington-670035127_were-looking-to-deploy-another-15m-into-activity-7426744963947900929-oRqf?utm_source=social_share_send&utm_medium=android_app&rcm=ACoAAB_td3YBvhf0PL3LUMt0LVEo1cu-Z_KCy_E&utm_campaign=copy_link,Emerging Fund Manager Submission Form,oui,,pas précisé,soumission le 11/03/2026 pour NEW ERA FUND,Réponse négative reçue,GO_LOST,Soumis mais réponse négative reçue
